compound,conc_M,real_effect,vehicle,effect_floor,delta,class,class_raw,class_absolute_floor,q_value,necessary_level,necessary_level_verdict,non_monotone,p_sign,p_sign_wm,p_weight,p_degree,p_ER,q_weight,q_degree,verdict_weight,verdict_degree
acetamiprid,1e-08,0.45339694651465123,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,equivalent_within_tolerance,False,0.9302325581395349,0.6744186046511628,0.28903654485049834,0.0033222591362126247,0.0033222591362126247,0.35968992248062015,0.006489994591671174,equivalent_within_tolerance,distinguishable
acetamiprid,1e-07,-7.375166864803854,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,indeterminate,False,0.2292358803986711,0.9501661129568106,0.14950166112956811,0.0033222591362126247,0.0033222591362126247,0.22832980972515857,0.006489994591671174,indeterminate,distinguishable
acetamiprid,1e-06,-12.23073546730731,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,indeterminate,False,0.06312292358803986,0.8903654485049833,0.06976744186046512,0.0033222591362126247,0.0033222591362126247,0.11491108071135431,0.006489994591671174,indeterminate,distinguishable
acetamiprid,1e-05,-12.23073546730731,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,indeterminate,False,0.06312292358803986,0.8903654485049833,0.06976744186046512,0.0033222591362126247,0.0033222591362126247,0.11491108071135431,0.006489994591671174,indeterminate,distinguishable
acetylcholine,1e-08,0.001799501517826485,14.345707408485804,0.14345707408485806,0.7172853704242903,no-effect,no-effect,topology-dependent,0.006489994591671174,none_required,,False,0.893687707641196,0.6843853820598007,0.2823920265780731,0.0033222591362126247,0.0033222591362126247,0.35968992248062015,0.006489994591671174,equivalent_within_tolerance,distinguishable
acetylcholine,1e-07,0.028010151444085807,14.345707408485804,0.14345707408485806,0.7172853704242903,no-effect,no-effect,topology-dependent,0.006489994591671174,none_required,,False,0.8970099667774086,0.6843853820598007,0.2823920265780731,0.0033222591362126247,0.0033222591362126247,0.35968992248062015,0.006489994591671174,equivalent_within_tolerance,distinguishable
acetylcholine,1e-06,0.32733373835234936,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,equivalent_within_tolerance,False,0.9169435215946844,0.6810631229235881,0.2857142857142857,0.0033222591362126247,0.0033222591362126247,0.35968992248062015,0.006489994591671174,equivalent_within_tolerance,distinguishable
acetylcholine,1e-05,-3.2993138264269763,14.345707408485804,0.14345707408485806,0.7172853704242903,topology-dependent,topology-dependent,topology-dependent,0.006489994591671174,topology_without_weight_pairing,indeterminate,False,0.6312292358803987,0.813953488372093,0.2159468438538206,0.0033222591362126247,0.0033222591362126247,0.3239202657807309,0.006489994591671174,indeterminate,distinguishable
caffeine,1e-08,0.0,14.345707408485804,0.14345707408485806,0.7172853704242903,no-effect,no-effect,no-effect,1.0,none_required,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,equivalent_within_tolerance,equivalent_within_tolerance
caffeine,1e-07,0.0,14.345707408485804,0.14345707408485806,0.7172853704242903,no-effect,no-effect,no-effect,1.0,none_required,,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,equivalent_within_tolerance,equivalent_within_tolerance
