circuit_frac,vert_limit,n_amplify,n_buffer,n_unscored,mean_gap_nicotinic,verdict_nicotinic,mean_gap_nav_ache,verdict_nav_ache
0.25,0.1,2,5,3,-0.9288320271187136,buffer,0.1661649733360372,amplify
0.25,0.2,2,5,3,-0.5883889262777298,buffer,0.5183474914473997,amplify
0.25,0.3,2,5,3,-0.36210849377880716,buffer,0.7524306974807679,amplify
0.4,0.1,0,7,3,-1.111252611511875,buffer,-0.041654034083071445,buffer
0.4,0.2,2,5,3,-0.7708095106708911,buffer,0.31052848402829103,amplify
0.4,0.3,2,5,3,-0.5445290781719685,buffer,0.5446116900616592,amplify
0.5,0.1,0,7,3,-1.2240513408816258,buffer,-0.15388276149595248,buffer
0.5,0.2,2,5,3,-0.8836082400406419,buffer,0.19829975661541,amplify
0.5,0.3,2,5,3,-0.6573278075417192,buffer,0.4323829626487782,amplify
