cut,n_nodes,n_edges,mean_degree,density,n_seed_nodes,edges_onto_seeds,share_onto_seeds,nodes_with_in_degree,share_edges_from_nodes_with_input,max_in_degree,in_star,cells_acetylcholine,cells_gaba,cells_glutamate,cells_histamine,cells_unclear
named,1126,1360,1.208,0.0010736135780540755,4,1154,0.8485,184,0.2493,556,True,612,295,56,2,161
taste_motor,1841,19066,10.356,0.005628439175306426,76,1830,0.096,1643,0.973,556,False,831,361,83,2,564
