conc_M,level,unit,spearman_rho_vs_full,pearson_r_vs_full,residual_rms_standardised,residual_rms_hz,reproduces_full_ordering,information_added_vs_previous
1e-08,A_receptor_only,dimensionless,0.09527077257487362,-0.03301816905736719,1.4373713292377635,,False,
1e-08,B_composition_only,excitation index,0.8763297872340425,0.7603070679378396,0.6923769667777234,,False,0.7810590146591689
1e-08,C_topology_only,Hz,0.923901376977036,0.2677237517741642,1.210186967559836,1.6185280637169492,True,0.04757158974299347
1e-08,D_full_flylab,Hz,0.9999999999999999,1.0,0.0,0.0,True,0.07609862302296388
1e-08,C_topology_only_floor,Hz,-0.3712812840144107,-0.043241827780173624,1.4444665643622032,1.9582620279112293,False,
1e-07,A_receptor_only,dimensionless,-0.5193580310505262,-0.1357909561113432,1.5071768019123326,,False,
1e-07,B_composition_only,excitation index,0.9183102371956979,0.7061936698801082,0.7665589737520419,,True,1.4376682682462243
1e-07,C_topology_only,Hz,0.9619701619712934,0.620208776980361,0.8715402721844113,4.583571094279977,True,0.04365992477559544
1e-07,D_full_flylab,Hz,0.9999999999999999,1.0,0.0,0.0,True,0.03802983802870652
1e-07,C_topology_only_floor,Hz,0.1747206042420756,-0.014104889690300878,1.4241523020311424,6.6895205938088615,False,
1e-06,A_receptor_only,dimensionless,-0.5640523883085501,-0.008285426718388106,1.4200601583865298,,False,
1e-06,B_composition_only,excitation index,0.9214816983710898,0.7503365230416151,0.7066307054726468,,True,1.4855340866796398
1e-06,C_topology_only,Hz,0.9676140362132637,0.6452548150801432,0.8423125131681909,8.150695665444447,True,0.046132337842173854
1e-06,D_full_flylab,Hz,1.0,1.0,0.0,0.0,True,0.032385963786736305
1e-06,C_topology_only_floor,Hz,0.16087398593797766,-0.11572300821834729,1.493802535958717,11.739358877967218,False,
1e-05,A_receptor_only,dimensionless,-0.5787938915672565,0.041567813603825624,1.3845087117069177,,False,
1e-05,B_composition_only,excitation index,0.9541778975741239,0.7503567990386449,0.7066020109812242,,True,1.5329717891413803
1e-05,C_topology_only,Hz,0.9504884338392682,0.6362141436861005,0.8529781431125881,9.731331737956676,True,-0.0036894637348556802
1e-05,D_full_flylab,Hz,1.0,1.0,0.0,0.0,True,0.049511566160731824
1e-05,C_topology_only_floor,Hz,0.15091318164688006,-0.16530824269065578,1.5266356753925645,13.896884748738845,False,
