type,cells,modality_hypothesis
LB3d,26,unassigned
LB3c,23,sweet (used)
LB1e,19,unassigned
LB3a,17,unassigned
LB1c,16,bitter (used)
LB1a,11,bitter (used)
LB3b,11,sweet (used)
LB4b,8,unassigned
LB1b,6,bitter (used)
LB2c,6,unassigned
LB1d,5,bitter (used)
LB2d,5,unassigned
LB2a,4,unassigned
LB4a,4,unassigned
LB2b,3,unassigned
LB3,1,unassigned
