partner,components,published,published_as_flylab_verdict,model_verdict,null_model,matches,shared_receptors,observed_effect_fraction,expected_effect_fraction,combination_index,substituted
acephate (organophosphate),imidacloprid@1e-09; chlorpyrifos_oxon@1e-09,additive,additive,additive,bliss,True,,0.5971679900589311,0.5797876088693997,,"{""requested"": ""acephate"", ""used"": ""chlorpyrifos_oxon"", ""reason"": ""acephate is an organophosphate pro-insecticide acting through AChE inhibition; the library's only AChE inhibitor is chlorpyrifos-oxon""}"
lambda-cyhalothrin (pyrethroid),imidacloprid@1e-09; deltamethrin@1e-09,additive,additive,additive,bliss,True,,0.08202536675147733,0.08035211193101388,,"{""requested"": ""lambda-cyhalothrin"", ""used"": ""deltamethrin"", ""reason"": ""same class (type II pyrethroid, insect_Nav); lambda-cyhalothrin is not in the FlyLab library""}"
clothianidin (neonicotinoid),imidacloprid@1e-09; clothianidin@1e-09,no_interaction,additive,additive,loewe,True,insect_nAChR; vertebrate_nAChR_a4b2,0.016187836664300598,0.017970764065576184,1.0589850973099812,
